transaction_id,user_id,transaction_amount,transaction_time,transaction_type,location,device_id,ip_address,is_mobile,is_fraud
1,103,399.5,2022-02-20 19:00:00,payment,Visakhapatnam,device_103,192.168.0.103,1,0
2,436,5910.5,2022-11-01 22:00:00,transfer,Bhopal,device_459,192.168.0.354,0,1
3,861,3812.6,2022-03-15 11:00:00,withdrawal,Delhi,device_861,192.168.0.861,1,0
4,271,619.8,2022-07-18 08:00:00,payment,Thane,device_271,192.168.0.245,0,0
5,107,7459.53,2022-07-11 19:00:00,withdrawal,Pimpri-Chinchwad,device_107,192.168.0.107,0,0
6,72,1039.23,2022-07-08 16:00:00,transfer,Bangalore,device_72,192.168.0.72,0,0
7,701,1536.68,2022-01-12 00:00:00,transfer,Patna,device_813,192.168.0.156,1,1
8,21,2992.73,2022-08-27 08:00:00,deposit,Pune,device_21,192.168.0.21,1,0
9,615,5351.8,2022-12-26 16:00:00,deposit,Visakhapatnam,device_615,192.168.0.615,1,0
10,122,1412.28,2022-03-22 06:00:00,withdrawal,Visakhapatnam,device_16,192.168.0.421,1,1
11,467,7642.28,2022-09-27 23:00:00,transfer,Chennai,device_467,192.168.0.272,1,1
12,215,2507.76,2022-10-17 22:00:00,transfer,Nagpur,device_874,192.168.0.692,1,1
13,331,1769.63,2022-02-17 00:00:00,deposit,Patna,device_643,192.168.0.779,0,1
14,459,453.97,2022-11-13 17:00:00,deposit,Bhopal,device_459,192.168.0.459,0,0
15,88,6064.3,2022-07-28 04:00:00,transfer,Lucknow,device_766,192.168.0.88,1,1
16,373,3997.7,2022-02-04 16:00:00,deposit,Kolkata,device_373,192.168.0.373,0,0
17,100,1031.82,2022-04-29 14:00:00,withdrawal,Chennai,device_100,192.168.0.100,1,0
18,872,1669.04,2022-03-06 12:00:00,transfer,Kolkata,device_872,192.168.0.872,0,0
19,664,630.23,2022-11-11 20:00:00,transfer,Ghaziabad,device_664,192.168.0.664,1,0
20,131,966.47,2022-08-30 17:00:00,deposit,Visakhapatnam,device_131,192.168.0.131,1,0
21,662,460.29,2022-02-05 21:00:00,withdrawal,Hyderabad,device_662,192.168.0.662,1,0
22,309,803.86,2022-09-09 03:00:00,transfer,Surat,device_261,192.168.0.684,0,1
23,770,2946.08,2022-08-31 04:00:00,deposit,Pune,device_924,192.168.0.560,1,1
24,344,3392.39,2022-02-11 14:00:00,transfer,Visakhapatnam,device_344,192.168.0.344,0,0
25,492,90.49,2022-03-10 23:00:00,transfer,Pimpri-Chinchwad,device_492,192.168.0.492,0,0
26,414,14784.38,2022-04-17 04:00:00,deposit,Lucknow,device_414,192.168.0.496,1,1
27,806,6827.46,2022-02-08 00:00:00,transfer,Indore,device_368,192.168.0.717,1,1
28,386,4278.77,2022-03-10 05:00:00,transfer,Patna,device_581,192.168.0.798,0,1
29,192,648.51,2022-06-29 13:00:00,transfer,Bangalore,device_192,192.168.0.192,0,0
30,956,1770.32,2022-01-12 19:00:00,transfer,Jaipur,device_956,192.168.0.956,1,0
31,277,4440.63,2022-12-05 17:00:00,payment,Pimpri-Chinchwad,device_277,192.168.0.277,1,0
32,161,1419.4,2022-07-23 23:00:00,transfer,Lucknow,device_161,192.168.0.161,1,0
33,460,888.54,2022-02-05 18:00:00,deposit,Visakhapatnam,device_460,192.168.0.460,0,0
34,314,73055.22,2022-05-06 03:00:00,withdrawal,Delhi,device_453,192.168.0.314,1,1
35,22,1195.3,2022-03-04 15:00:00,withdrawal,Visakhapatnam,device_22,192.168.0.22,1,0
36,253,954.94,2022-11-28 12:00:00,payment,Indore,device_253,192.168.0.253,1,1
37,748,1522.07,2022-03-23 23:00:00,payment,Bangalore,device_544,192.168.0.748,0,0
38,857,608.87,2022-11-03 03:00:00,withdrawal,Indore,device_857,192.168.0.857,1,0
39,561,3452.85,2022-10-26 02:00:00,transfer,Surat,device_347,192.168.0.480,1,1
40,475,3938.1,2022-02-03 03:00:00,withdrawal,Chennai,device_475,192.168.0.475,0,0
41,59,2638.06,2022-08-28 14:00:00,payment,Lucknow,device_59,192.168.0.59,0,0
